FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,34843932,28165403,-10980536,79947149,-32348107,-31868989,-36438854,11115515,-3800010,-9198152,-9783427,81517450,68421196,69105706,71095460,MPARK
2ODA,Azınlık Payları,Minority Interests,10943772,-1571528,-690057,285074,799154,2044369,4622584,10637849,7292633,16277121,20443414,32176009,29174995,31643609,37683855,MPARK
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,427352747,396200199,386846233,1207349349,497920241,386604431,433361263,1391101003,1017003395,1083061277,1274827675,1678297093,1484602458,1653835514,1758846581,MPARK
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3C,Satış Gelirleri,Net Sales,156505522,296699485,433140477,1137698394,344818675,657071113,985612938,1360221590,355079561,697433274,1138430204,1514391137,324204416,649111121,1015111181,MPARK
3CA,Satışların Maliyeti (-),Cost Of Sales,-114225472,-214219605,-310335900,-843546552,-258952518,-488493044,-721372692,-970600200,-262496326,-519405587,-829960409,-1100073324,-235048165,-476235120,-731818350,MPARK
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,42280051,82479881,122804577,294151842,85866156,168578070,264240246,389621390,92583235,178027687,308469796,414317813,89156251,172876001,283292831,MPARK
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),42280051,82479881,122804577,294151842,85866156,168578070,264240246,389621390,92583235,178027687,308469796,414317813,89156251,172876001,283292831,MPARK
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-14152322,-26779944,-40332736,-112515787,-35639878,-66141947,-97670819,-132629470,-28936072,-57173076,-94854616,-128465670,-29726473,-57973084,-88095224,MPARK
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,8260615,13837556,20721507,54039929,4715171,28755544,42295867,57754410,12838649,15852606,25998017,29791971,14294581,32325258,39692002,MPARK
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-10593952,-16889565,-22164655,-56612121,-4945300,-16222419,-32888352,-49862864,-12305291,-21695924,-32919238,-43601878,-11474307,-27784194,-41282853,MPARK
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,25794391,52647927,81028694,179063863,49996148,114969247,175976942,264883467,64180521,115011292,206693959,272042236,62250052,119443981,193606756,MPARK
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,28127728,55699936,82471842,181636055,50226278,102436122,166569427,256991920,63647162,120854610,213615180,285852143,59429778,114902916,195197607,MPARK
3HA,Yatırım Faaliyetlerinden Gelirler,None,1235696,9671995,8105446,60182868,989378,4351439,4728872,4733904,9625,35063515,71726332,70404553,6123,7523,10767194,MPARK
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,-411803,-582202,-818444,-10634901,-241668,-261252,-656788,-649725,0,-240940,-241945,-229849,-57756,-48848,-52902,MPARK
3HAB,Diğer Gelir ve Giderler,None,0,0,0,0,0,0,0,0,0,0,-0,-0,0,0,0,MPARK
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,26618284,61737720,88315696,228611830,50743858,119059434,180049026,268967645,64190146,149833866,278178346,342216940,62198418,119402656,204321047,MPARK
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),1543082,3502817,5416534,9415582,686631,2284604,4507194,14777451,5568077,11278976,0,26084930,6467287,13717394,0,MPARK
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-13150296,-21063524,-28416851,49698192,9900710,4848539,14459330,99326668,20837022,-24758957,-34409851,-72837847,-15016261,-36969754,-39024355,MPARK
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,823893,9089793,7287002,49547967,747710,4090187,4072084,4084179,9625,34822574,71484387,70174704,-51633,-41325,10714291,MPARK
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,15011069,44177014,65315378,287725604,61331199,126192577,199015551,383071764,90595245,136353886,243768494,295464023,53649445,96150296,165296693,MPARK
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-701010,-3583964,2517230,6673484,-31769751,-39957056,-60689031,-95391218,-57054391,-48573127,-60208271,-74703577,-18464160,-29815662,-48710310,MPARK
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-2815707,-4468049,-6362608,-6380195,-17306937,-20521132,-26761216,-32390745,-7751412,-11872963,-23945601,-35973171,-10925455,-17389335,-25686683,MPARK
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,2114697,884084,8879838,13053678,-14462814,-19435924,-33927815,-63000474,-49302978,-36700164,-36262670,-38730406,-7538705,-12426327,-23023627,MPARK
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,14310059,40593049,67832608,294399088,29561448,86235521,138326519,287680546,33540854,87780759,183560223,220760446,35185284,66334634,116586383,MPARK
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,MPARK
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,14310059,40593049,67832608,294399088,29561448,86235521,138326519,287680546,33540854,87780759,183560223,220760446,35185284,66334634,116586383,MPARK
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,MPARK
3LB,Azınlık Payları,Minority Interests,2140819,1845755,2570582,9018772,1237238,4412295,5806895,13229265,3075087,11284985,16665551,21969472,2920948,5388206,11122266,MPARK
3Z,Ana Ortaklık Payları,Parent Shares,12169240,38747294,65262026,285380316,28324210,81823226,132519624,274451281,30465767,76495774,166894672,198790973,32264336,60946428,105464116,MPARK
3ZD,Hisse Başına Kazanç,Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
4B,Amortisman Giderleri,Depreciation & Amortization,7792630,14328401,20098939,75938801,26060439,49115369,66266682,93448296,27074114,54324199,79064684,103454436,21768441,45633435,75395384,MPARK
4BA,Kıdem Tazminatı,Severance Payments,1403023,1124032,1674278,1283659,4198967,-1574734,3435702,368256,1018365,578396,-271561,543335,1617484,1054644,0,MPARK
4BB,Finansman Giderleri,Financial Expenses,-13150296,-21063524,-28416851,49698192,9900710,4848539,14459330,99326668,20837022,-24758957,-34409851,-72837847,-15016261,-36969754,-39024355,MPARK
