FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3LB,Azınlık Payları,Minority Interests,SOKM,-10565,-23003,4588,-99759,-18898,-208328,-540896,-604970,-528570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Z,Ana Ortaklık Payları,Parent Shares,SOKM,881412,8603204,16198432,38792024,11326993,24820046,38795206,36338131,18442681,40994383,113455050,418539576,54846457,76206738,284759843,257483216,-457180,7033845,8661927,2336774,-9852517,-19282219,-13269998
3ZD,Hisse Başına Kazanç,Earnings per Share,SOKM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0,0,0,0,-0,-0,-0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,SOKM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0,0,0,0,-0,-0,-0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,SOKM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0,0,0,0,-0,-0,-0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,SOKM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0,0,0,0,-0,-0,-0
4B,Amortisman Giderleri,Depreciation & Amortization,SOKM,26592594,51116194,75203923,99253440,25798544,49546542,74698471,93424073,17244700,34147101,50670171,239559093,73870966,141960999,212843381,282474762,64221409,136922362,222935196,298435385,64825229,127672203,219255811
4BA,Kıdem Tazminatı,Severance Payments,SOKM,1357527,2773207,3494672,4330715,1672053,2862136,4128420,5446192,1684385,4205125,5323631,17553869,685052,1323301,934410,3752405,603400,1195998,1813602,1675802,675549,653417,2033981
4BB,Finansman Giderleri,Financial Expenses,SOKM,-22611921,-43150767,-61572972,-82101310,-23990412,-47177967,-70398168,-89481896,-17957812,-34635954,-52967835,425856910,119580659,161599175,420917851,423548366,87713855,163102152,226463518,226321702,59653526,83399312,118266987
4BC,Yurtiçi Satışlar,Domestic Sales,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4BD,Yurtdışı Satışlar,Export Sales,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,SOKM,-2253866,-1503138,-1779883,-2216221,74022,-656675,-728163,14473980,5420692,-506708,2061056,-3336714,10197198,20026496,53697859,4495327,51945555,48761246,28317830,70639338,-754172,-108294,1261703
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,SOKM,-2253866,-1503138,-1779883,-2216221,74022,-656675,-728163,14473980,9624671,-506708,2061056,-3336714,10197198,20026496,53697859,7436675,51945555,48761246,28317830,70639338,-754172,-108294,1261703
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),SOKM,-2253866,-1503138,-1779883,-2216221,74022,-656675,-728163,14473980,9624671,-506708,2061056,-3336714,10197198,20026496,53697859,7436675,51945555,48761246,28317830,70639338,-754172,-108294,1261703
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,SOKM,71625581,173615831,221132315,305778816,74661337,124384680,200668562,239497744,35501799,93307088,116026978,517234885,255552572,340119719,572124506,827824785,261483154,436094450,500853725,700298087,130870234,274851897,405840549
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,SOKM,870847,8580201,16203020,38692265,11308095,24611717,38254310,35733161,17914112,40994383,113455050,418539576,56544640,76206738,284759843,257483216,-457180,7033845,8661927,2336774,-9852517,-19282219,-13269998
4CAA,Düzeltmeler:,Adjustments:,SOKM,51979664,104329195,151433391,195183499,54663268,108362656,160824495,221471200,45300937,102283254,84271261,747839964,311312701,369131732,857185510,60147424,10410412,70927329,36228876,-9637343,1270523,18285766,6918386
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,SOKM,26592594,51116194,75203923,99253440,25798544,49546542,74698471,93424073,17244700,34147101,50670171,239559093,67068420,141960999,212843381,282474762,64221409,136922362,222935196,298435385,64825229,127672203,219255811
4CAC,Karşılıklardaki Değişim,Change in Provisions,SOKM,3531088,6430831,8209283,12166711,3342854,6193237,8811805,47259470,3968603,10982646,15316249,-37217462,-12693918,-5887684,-16455666,46665930,769925,6552079,17102419,33611400,3992700,3487685,18232571
4CAD,Diğer Gelir/ Gider,Other Income / Expense,SOKM,21855982,46782170,68020185,83763347,25521869,52622877,77314219,80787657,24087634,57153507,18284842,545498333,256938199,233058417,228886533,253835423,43254265,56130314,65024322,58931094,32580130,52009020,103385755
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),SOKM,52850510,112909396,167636411,233875764,65971363,132974373,199078805,257204361,63215049,143277637,197726311,1166379539,367857342,445338470,1141945353,317630641,9953232,77961174,44890802,-7300569,-8581994,-996453,-6351612
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,SOKM,20190493,63336858,57844207,77466575,10548485,-4948417,7619063,-8296291,-4242954,-14376610,-54554060,-595818060,-103654665,-92852382,-543864021,569953152,257555699,371674661,478669762,733957165,145037192,282858068,431584542
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),SOKM,73041004,176246254,225480618,311342339,76519847,128025956,206697868,248908070,58972095,128901028,143172251,570561480,264202677,352486087,598081332,887583792,267508931,449635835,523560565,726656596,136455198,281861615,425232930
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,SOKM,-1415423,-2630423,-4348303,-5563522,-1858510,-3641276,-6029306,-9410326,-23470296,-35593939,-27145273,-53326594,-8650104,-12366368,-25956826,-59759008,-6025777,-13541385,-22706840,-26358510,-5584964,-7009718,-19392382
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),SOKM,-14901653,-30007168,-47527660,-73619369,-20293842,-43492241,-65636958,-88937731,-27675259,-60358844,-89885358,-194823588,-38152836,-84002075,-132377027,-127338918,-24503564,-90088539,-182691339,-199635958,-25304513,-51813509,-84443525
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,SOKM,324186,863925,1448842,3529712,4414168,9058491,13142143,14861150,2947348,4249560,5327004,8971882,2602538,4218423,12932169,20237919,14057790,35665969,70093279,55942996,8667738,25362639,45759093
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,SOKM,-14577467,-29143243,-46078818,-70089658,-15879674,-34433750,-52494815,-74076582,-24727911,-56109284,-84558354,-185851707,-35550297,-79783653,-119444858,-107101000,-10445774,-54422570,-112598060,-143692962,-16636775,-26450871,-38684432
4CB,Serbest Nakit Akım,Free Cash Flow,SOKM,57048114,144472588,175053497,235689159,58781663,89950930,148173746,165421163,10773888,37197804,31468625,331383179,220002275,260336066,452679648,720723785,251037380,381671880,388255665,556605125,114233459,248401026,367156117
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
