FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1AHB,8.2 Diğer Menkul Değerler,8.2 Other Marketable Securities,0,0,0,0,0,0,0,0,0,358597000,372004000,391563000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AI,IX. İŞTİRAKLER (Net),IX. INVESTMENTS AND ASSOCIATES (Net),4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,SKBNK
1AIA,9.1 Özkaynak Yöntemine Göre Muhasebeleştirilenler,9.1 Accounted With Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AIB,9.2 Konsolide Edilmeyenler,9.2 Non-Consolidated Investments And Associates,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,SKBNK
1AIC,9.2.1 Mali İştirakler,9.2.1 Financial Investments And Associates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AID,9.2.2 Mali Olmayan İştirakler,9.2.2 Non-Financial Investments And Associates,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AJ,X. BAĞLI ORTAKLIKLAR  (Net),X. SUBSIDIARIES (Net),115052000,115052000,115052000,115052000,115052000,115052000,145052000,145052000,145052000,145552000,170552000,771213000,775663000,776007000,783713000,783232000,783232000,783232000,782647000,747719000,747719000,747719000,746393000,782409000,782409000,782409000,782409000,815752000,866401000,931257000,931257000,969888000,1059887000,1059887000,1159887000,1141988000,1141988000,1160832000,1279321000,1279321000,1279321000,1279321000,1279321000,SKBNK
1AJA,10.1 Konsolide Edilmeyen Mali Ortaklıklar,10.1 Financial Subsidiaries,115052000,115052000,115052000,115052000,115052000,115052000,145052000,145052000,145052000,145052000,170052000,167747000,172197000,172541000,180247000,179766000,179766000,179766000,179181000,161945000,747719000,747719000,746393000,782409000,782409000,782409000,782409000,815752000,866401000,931257000,931257000,969888000,1059887000,1059887000,1159887000,1141988000,1141988000,1160832000,1279321000,1279321000,1279321000,1279321000,1279321000,SKBNK
1AJB,10.2 Konsolide Edilmeyen Mali Olmayan Ortaklıklar,10.2 Non-Financial Subsidiaries,0,0,0,0,0,0,0,0,0,500000,500000,603466000,603466000,603466000,603466000,603466000,603466000,603466000,603466000,585774000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AK,XI. BİRLİKTE KONTROL EDİLEN ORTAKLIKLAR (İŞ ORTAKLIKLARI) (Net),XI. JOINT VENTURES (BUSINESS PARTNERS) (Net),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
