FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0,0,0,0,0,0,0,0,0,0,0,-20615,0,0,0,ODAS
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,516407,6431123,9287397,23844243,2913715,11711744,40904840,37575654,2696629,7411174,7818624,10171763,2154469,33564854,33675996,ODAS
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-1144475,-5790026,-9575888,-27957476,-3142113,-11670114,-22214395,-31655320,-3429075,-13457322,-24136896,-47579145,-9964099,-16909217,-23164229,ODAS
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,35981537,86210090,158872791,354894294,23108667,47197588,77515476,79641212,7123826,1265526,13098336,4166106,-4380282,23574394,25569552,ODAS
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,36609605,85568992,159161282,359007527,23337065,47155958,58825030,73720878,7856272,7311674,29416609,41573487,3429347,6918758,15057785,ODAS
3HA,Yatırım Faaliyetlerinden Gelirler,None,2964,2782,1656301,3743335,1865153,36006117,311295071,274078063,174870,56049068,60798993,57542444,0,565238,37071644,ODAS
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,-39052,-36655,-34290,-5762679,0,-83652,-72467,-376378,-6978,-97159166,-105399799,-101497162,-1980217,-1963909,-2511833,ODAS
3HAB,Diğer Gelir ve Giderler,None,-3228780,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,ODAS
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,2458831,2307881,4211474,900,0,0,1760743,0,0,0,3457214,5636577,0,0,0,ODAS
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,35175499,88484098,164706276,352875850,24973821,83120052,390498822,353342897,7291717,-39844572,-28045256,-34152036,-6360499,22175723,60129363,ODAS
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),20116549,21359752,27575475,74386632,18114697,23450106,89358279,145776279,13555636,22991410,34463755,48397643,6704359,17996528,38213746,ODAS
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-19121943,-33743263,-41851227,-336337260,-33822629,20901331,-145245975,-237045890,-19198272,-92127425,-121477449,-133599761,13463106,-68216021,-118843389,ODAS
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,-3264869,-33873,1622011,-2019344,1865153,35922464,311222604,273701685,167892,-41110098,-44600806,-43954718,-1980217,-1398671,34559811,ODAS
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,36170105,76100587,150430524,90925223,9265888,127471489,334611126,262073286,1649081,-108980588,-115058950,-119354154,13806966,-28043770,-20500280,ODAS
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-1783598,1931542,16525304,17808173,6650624,1090031,-10648926,-2033340,4104379,9597612,-8099723,-8778199,-25669953,-19587049,-29970944,ODAS
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-26372,-4279335,-15833479,-30637818,-2064278,-3455004,-18718449,-20363157,-520628,-1293525,-1361104,-1481824,-408973,-618362,-1737435,ODAS
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,-1757226,6210877,32358783,48445991,8714902,4545035,8069523,18329818,4625007,10891137,-6738619,-7296375,-25260980,-18968687,-28233509,ODAS
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,34386507,78032129,166955828,108733396,15916512,128561520,323962200,260039947,5753460,-99382976,-123158672,-128132353,-11862987,-47630818,-50471224,ODAS
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,ODAS
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,-11077,-4736,-14294,-9515,-274,-836,0,-6284,0,0,0,0,0,0,0,ODAS
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,34375430,78027393,166941534,108723881,15916238,128560684,323962200,260033663,5753460,-99382976,-123158672,-128132353,-11862987,-47630818,-50471224,ODAS
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,ODAS
3LB,Azınlık Payları,Minority Interests,6625250,16685262,29626538,24342111,5091629,14357304,37024301,29368945,-4528367,-10064962,-7401138,-14486756,-1370379,-24936203,-43870870,ODAS
3Z,Ana Ortaklık Payları,Parent Shares,27750180,61342130,137314996,84381770,10824609,114203380,286937899,230664718,10281827,-89318014,-115757534,-113645597,-10492608,-22694616,-6600354,ODAS
3ZD,Hisse Başına Kazanç,Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
4B,Amortisman Giderleri,Depreciation & Amortization,3760838,7163480,10170744,32127633,17231985,19751569,38537462,69870712,23630991,39196236,58646542,72227799,19373134,32717876,49497258,ODAS
4BA,Kıdem Tazminatı,Severance Payments,-8100,-33371,-55137,-92912,-66478,-139381,-299009,-583038,-45468,-80058,-234604,-779129,-16960,-40577,-121510,ODAS
4BB,Finansman Giderleri,Financial Expenses,-19121943,-33743263,-41851227,-336337260,-33822629,20901331,-145245975,-237045890,-19198272,-92127425,-121477449,-133599761,13463106,-68216021,-118843389,ODAS
4BC,Yurtiçi Satışlar,Domestic Sales,76087981,176851707,301608405,946508497,144403055,262641472,356604196,444705211,68138319,121621600,212886762,288782182,37996599,92821121,162135267,ODAS
4BD,Yurtdışı Satışlar,Export Sales,559877,938207,877684,4726254,2468818,3291870,4875804,6251351,1660478,6165718,5680195,9198651,-12052,5627511,9421512,ODAS
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,-118526419,-128804814,-116995286,-165776267,-114084681,-153382339,10651502,67686654,3602768,3364278,-25867517,32769075,72260023,76004716,70720709,ODAS
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-130270307,-133998157,-122824540,-177614355,-119564084,-156844717,2663287,58129274,-4710064,-2974488,-23608426,-25611708,19688310,25009846,18882617,ODAS
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),-118526419,-128804814,-116995286,-165776267,-114084681,-153382339,10651502,67686654,3602768,3364278,-25867517,32769075,72260023,76004716,70720709,ODAS
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,34485358,92603835,157473708,468130412,-54119170,100051254,396135411,596461157,99519820,197089435,194291266,41696856,85049840,-41141738,-65535877,ODAS
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,27750180,61342130,137314996,84381770,9985352,114203380,286937899,230664718,10281827,-89318015,-115757534,-113645597,-10492608,-22694616,-6600354,ODAS
4CAA,Düzeltmeler:,Adjustments:,-13762861,14580158,-12085961,260831555,66778548,107604755,172246996,457781941,186601303,359115277,346731998,227088817,242580336,11694775,-38547471,ODAS
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,3760838,7163480,10170744,32127633,17231985,19751569,38537462,69870712,23630991,39196236,58646542,72227799,19373134,32717876,49497258,ODAS
4CAC,Karşılıklardaki Değişim,Change in Provisions,320025,562839,530873,691742,-60011087,-57109745,-50804841,-68577202,495894,588360,700543,986166,399057,526270,467936,ODAS
4CAD,Diğer Gelir/ Gider,Other Income / Expense,-17843724,6853839,-22787578,228012181,109557650,83111836,285289660,158620637,47782229,254238687,410632559,249629632,113685201,69762296,30260061,ODAS
