FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,514432116,1494566787,3500380240,4552570040,646670741,1993251986,4351241108,5012729448,521310726,1625011516,3479708798,5452733991,323562944,1497876853,3071833952,THYAO
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),514432116,1494566787,3500380240,4552570040,646670741,1993251986,4351241108,5012729448,521310726,1625011516,3479708798,5452733991,323562944,1497876853,3071833952,THYAO
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-299512855,-652063455,-1001185918,-1396869397,-415164945,-869358460,-1318350422,-1758437927,-443017219,-912025301,-1351796778,-2300131296,-435628092,-883423469,-1351651455,THYAO
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-68991731,-134013247,-221892259,-282936923,-97598694,-223425225,-324024280,-445768064,-107621273,-219531194,-388258984,-712554981,-170538717,-260032873,-399899790,THYAO
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,29843933,71876779,89108814,231296872,129037753,328521946,525340074,523364106,111077298,216590197,362081784,774023580,228626140,334625251,477726382,THYAO
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-11594046,-42857369,-96586917,-166295409,-149097355,-254787582,-275598574,-334430964,-42893472,-67864296,-77106568,-146631796,-25430486,-34655043,-48217805,THYAO
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,164177417,737509495,2269823961,2937765184,113847501,974202666,2958607906,2997456598,38856060,642180922,2024628253,3067439498,-79408210,654390719,1749791283,THYAO
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,145927530,708490085,2277302063,2872763721,133907102,900468301,2708866406,2808523457,-29327766,493455021,1739653036,2440047714,-282603864,354420511,1320282706,THYAO
3HA,Yatırım Faaliyetlerinden Gelirler,None,45517366,108285391,197572717,331567647,151108607,369328362,808957045,1015211377,309491907,753337958,1291140025,2112863834,357240411,635369129,958817398,THYAO
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,-23689069,-22234779,-20800436,-20042118,-11697024,-14393352,-65768865,-70042073,-1614965,-2087159,-32527881,-96724331,-37125200,-52369399,-63281017,THYAO
3HAB,Diğer Gelir ve Giderler,None,0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,THYAO
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,-4723500,12024246,117198829,131206656,-12279228,31564368,172080182,281846952,2390148,19733141,137298637,225842727,-43275958,-25877900,109712977,THYAO
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,181282213,835584353,2563795070,3380497369,240979856,1360702044,3873876268,4224472854,349123150,1413164862,3420539033,5309421728,197431042,1211512550,2755040642,THYAO
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),34925274,143283337,415380298,753294729,356256405,414730549,492545736,503723788,198543806,373980971,922242875,1241047568,192686960,492507117,666404750,THYAO
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-97833709,-192723813,-300003865,-1040023404,-321059479,-548310956,-496960358,-897411437,-383102015,-750586703,-1571251549,-1917583706,-443323434,-930750679,-987002686,THYAO
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,21828297,86050611,176772281,311525529,139411584,354935010,743188179,945169304,307876942,751250799,1258612144,2016139503,320115210,582999730,895536382,THYAO
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,118373778,786143877,2679171504,3093768694,276176782,1227121637,3869461645,3830785204,164564941,1036559130,2771530359,4632885590,-53205432,773268987,2434442706,THYAO
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,40507593,-22033256,-260225388,-239000749,-42500950,-309330810,-738593368,3009668847,58881627,143286638,-19640644,-307686392,2068640,-108046900,-339284600,THYAO
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-8445046,-24115667,-32677421,-34306328,-4128361,-3888730,-29911320,-73021694,0,0,-164993804,-509185876,-4247608,-130936836,-418767627,THYAO
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,48952639,2082411,-227547967,-204694421,-38372589,-305442080,-708682049,3082690541,58881627,143286638,145353160,201499484,6316249,22889936,79483027,THYAO
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,158881371,764110621,2418946116,2854767945,233675833,917790827,3130868277,6840454052,223446568,1179845768,2751889715,4325199198,-51136791,665222087,2095158107,THYAO
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,THYAO
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,158881371,764110621,2418946116,2854767945,233675833,917790827,3130868277,6840454052,223446568,1179845768,2751889715,4325199198,-51136791,665222087,2095158107,THYAO
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,THYAO
3LB,Azınlık Payları,Minority Interests,0,0,0,180560,-158783,50503,-45047,-209832,-419891,-537602,-1084263,-801267,-992947,-2080903,-2924644,THYAO
3Z,Ana Ortaklık Payları,Parent Shares,158881371,764110621,2418946116,2854587386,233834616,917740324,3130913324,6840663884,223866459,1180383370,2752973978,4326000465,-50143844,667302991,2098082751,THYAO
3ZD,Hisse Başına Kazanç,Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
4B,Amortisman Giderleri,Depreciation & Amortization,444295294,896713203,1371069191,1862953960,496356049,994959394,1495160556,2034283670,529966939,1073969877,1626301115,2758875528,563028760,1145910741,1753802963,THYAO
4BA,Kıdem Tazminatı,Severance Payments,2934296,32646836,33305833,14023464,7515735,34544045,37479244,26354956,8171723,14673361,32094176,50174554,13570281,17527608,25933570,THYAO
4BB,Finansman Giderleri,Financial Expenses,-97833709,-192723813,-300003865,-1040023404,-321059479,-548310956,-496960358,-897411437,-383102015,-750586703,-1571251549,-1917583706,-443323434,-930750679,-987002686,THYAO
4BC,Yurtiçi Satışlar,Domestic Sales,186506691,499174156,960213458,1273667551,260721892,656387353,1182803493,1514067052,300318905,769339512,1374442379,2224583298,359033232,884117103,1556195371,THYAO
4BD,Yurtdışı Satışlar,Export Sales,2780853408,7016449975,12769079444,17092856868,3965555624,8676716599,14546721617,19023787934,4260891552,9297123936,15182249071,25299422007,4319266045,9565565474,15670527889,THYAO
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,-7659370327,-6324820704,-6029989700,-6771587568,-5966646424,-7786752919,-5820679732,-7429957346,-5098896928,-4432019206,-5358271375,-6635289094,-5050599390,-5425955253,-5689597493,THYAO
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-8507668028,-7353934965,-7275879231,-7725905340,-6877320575,-8975340775,-6983482282,-8917165844,-6623908448,-6079072388,-7205978934,-8440695469,-6451068958,-6708805435,-6930423053,THYAO
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),-7659370327,-6324820704,-6029989700,-2276977165,-5966646424,-7786752919,-11090747927,-12588184618,-8941674022,-8005014304,-8811679058,-8941983145,-6359276487,-5853047308,-5731474255,THYAO
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,1421702001,4118942500,5545546928,7042547369,1571370735,3832217339,5106231646,6086484080,1136741616,2651830570,4909138786,5173130087,891970170,2878022601,3627309280,THYAO
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,158881371,764110621,2418946116,2854767945,233675833,917790827,3130868277,6840454052,223446568,1179845768,2751889715,4325199198,-51136791,665222087,2095158107,THYAO
4CAA,Düzeltmeler:,Adjustments:,709312285,1457755128,1839864505,3127593529,932162800,1877246619,1652420220,-891158430,-4392705,485011513,2249163569,899555354,730781708,1651943729,1742777313,THYAO
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,444295294,896713203,1371069191,1862953960,496356049,994959394,1495160556,2034283670,529966939,1073969877,1626301115,2758875528,563028760,1145910741,1753802963,THYAO
4CAC,Karşılıklardaki Değişim,Change in Provisions,21470456,51925935,65669049,55070684,28051685,56967372,72255658,60305847,50290012,61697689,106040892,140793996,38118148,57491622,84064107,THYAO
4CAD,Diğer Gelir/ Gider,Other Income / Expense,243546535,509115991,403126265,1209568886,407755066,825319853,85004006,-2985747948,-584649656,-650656053,516821561,-2000114170,129634800,448541366,-95089757,THYAO
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),868193656,2221865749,4258810621,5982361475,1165838633,2795037446,4783288497,5949295621,219053863,1664857281,5001053284,5224754553,679644916,2317165816,3837935420,THYAO
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,560808300,1894524118,1269454979,1044116089,396587319,1023039056,303617913,126780768,922015860,995922774,-63723668,19459333,238776269,651696216,-63565716,THYAO
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),1429001956,4116389867,5528265600,7026477563,1562425952,3818076502,5086906410,6076076390,1141069723,2660780055,4937329616,5244213886,918421185,2968862032,3774369704,THYAO
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,-7299955,2552633,17281329,16069806,8944783,14140837,19325235,10407690,-4328106,-8949485,-28190830,-71083798,-26451016,-90839431,-147060424,THYAO
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-171262667,-402711488,-563371312,-919289206,-429190787,-489525476,-688005398,-1030235380,-235752601,-535862300,-921375465,-1659728468,-303345432,-944623368,-1337131762,THYAO
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,-571901369,-843242253,-932060603,-691302594,-2105199602,-2538987290,-4692293218,-4441649443,431098777,265954673,611741016,2041398480,-325300602,-228179046,-151046222,THYAO
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,-743164036,-1245953740,-1495431916,-1610591799,-2534390389,-3028512766,-5380298616,-5471884823,195346175,-269907626,-309634449,381670012,-628646034,-1172802414,-1488177984,THYAO
4CB,Serbest Nakit Akım,Free Cash Flow,678537965,2872988760,4050115013,5431955570,-963019654,803704573,-274066971,614599256,1332087792,2381922944,4599504337,5554800100,263324135,1705220188,2139131296,THYAO
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,-105348369,-369661604,-727826720,-1132650488,42077528,-276705879,-521961537,-1025493167,-624603892,-930999475,-1718153656,-442299188,-8605544,-572408466,-247378305,THYAO
4CBB,Temettü Ödemeleri,Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,-119011660,-231668049,THYAO
4CBC,Sermaye Artırımı,Rights Issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,-460827545,-958916845,-1369309637,-1876977423,-456025136,-949961231,-1503404188,-1935788317,-513558893,-1085449252,-1667998761,-2433103403,-488971433,-943742985,-1480206388,THYAO
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,-566175914,-1328578449,-2097136357,-3009627912,-413947607,-1226667110,-2025365725,-2961281483,-1138162785,-2016448727,-3386152416,-2875402592,-497576977,-1635163111,-1959252742,THYAO
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,112362051,1544410311,1952978656,2422327659,-1376967262,-422962536,-2299432696,-2346682227,193925006,365474216,1213351921,2679397508,-234252842,70057076,179878554,THYAO
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,112362051,1544410311,1952978656,2422327659,-1376967262,-422962536,-2299432696,-2346682227,193925006,365474216,1213351921,2679397508,-234252842,70057076,179878554,THYAO
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,2553481283,2396721129,2242110994,2143363048,4032667959,3831358789,3417233125,3183536018,643725078,629310107,617750929,760859914,2486891938,2405417457,2333607189,THYAO
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,2665843334,3941131440,4195089650,4565690706,2655700697,3408396252,1117800429,836853791,837650085,994784324,1831102850,3440257421,2252639096,2475474533,2513485743,THYAO
