FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,LOGO,13324984,27301977,40170111,63386375,15095057,32377292,48130276,69918522,14924472,34033722,49178074,137341350,36987894,77965859,113629680,126459389,29066787,67924318,106988414,150279276,28122118,62167465,99085002
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),LOGO,13324984,27301977,40170111,63386375,15095057,32377292,48130276,69918522,14924472,34033722,49178074,137341350,36987894,77965859,113629680,126459389,29066787,67924318,106988414,150279276,28122118,62167465,99085002
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),LOGO,-2883231,-5737299,-9078533,-17247022,-2597890,-5705262,-8391853,-16022820,-2451998,-5892687,-9692312,-27512471,-7563422,-17732509,-25168889,-39770426,-7847923,-16883631,-26374133,-40148801,-7202096,-16849314,-27228670
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),LOGO,-2435501,-4908306,-6859999,-13070260,-2767049,-5096014,-7270831,-11003070,-2302778,-5330033,-7296994,-24181989,-6144695,-10585174,-15592086,-17845243,-3216881,-6306098,-10004058,-16689278,-2632469,-5577034,-8976043
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),LOGO,-4405658,-8411786,-12482150,-16869670,-4688419,-9178428,-14453786,-19656934,-3929952,-8256425,-12828590,-42709512,-13303168,-27985222,-41622953,-48352574,-12066341,-23854363,-38321530,-54234229,-11101676,-22438220,-35549670
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,LOGO,673076,958980,789811,862631,1641399,1754154,2062798,2535309,409442,324386,438317,2920732,737548,1110864,1395561,1292736,1372623,1838281,2226890,2474540,1850027,2219950,1926409
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),LOGO,-133545,-749153,-708386,-2050581,-115246,-242384,-428158,-2042095,-474712,-715140,-906170,-3111764,-447663,-2054310,-2409123,-4300222,-440046,-1681175,-1985905,-5507182,-365543,-729517,-1040267
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,LOGO,4140125,8454414,11830853,15011472,6567852,13909359,19648447,23728912,6174474,14163823,18892325,42746346,10266493,20719508,30232191,17483660,6868220,21037331,32529678,36174327,8670362,18793331,28216759
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,LOGO,3600594,8244587,11749428,16199423,5041699,12397589,18013807,23235699,6239744,14554578,19360178,42937378,9976608,21662954,31245752,20491146,5935643,20880225,32288693,39206969,7185878,17302897,27330618
3HA,Yatırım Faaliyetlerinden Gelirler,None,LOGO,57919,724872,1008128,1278515,113824,124792,268177,1308886,901043,1747479,2397140,7337642,2068838,4246796,5557334,7101695,1607569,2970850,4461555,5311940,20054945,20337335,21973861
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-196348,0,0,0
3HAB,Diğer Gelir ve Giderler,None,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,LOGO,0,0,0,0,0,0,0,0,0,0,0,-569425,0,-220597,-539620,-780031,0,0,-1543278,-2802487,-2454014,-1447695,-1076968
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,LOGO,4198043,9179287,12838982,16289988,6681676,14034152,19916624,25037798,7075517,15911302,21289466,49514563,12335332,24745707,35249905,23805324,8475789,24008181,35447955,38487432,26271292,37682970,49113652
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),LOGO,387701,645678,2239786,3440982,2119584,3769320,5148046,13027350,3327062,7744622,10668801,21700197,3357046,20415985,24173707,27900330,4030081,4903433,6160595,6368200,144722,205956,311255
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),LOGO,-362720,-818271,-1147729,-2929900,-515988,-1310982,-2022074,-4444521,-2854497,-5089548,-6670341,-47749894,-12870166,-19567787,-41921165,-39408339,-12492821,-20143426,-28484696,-33228184,-4513194,-8139613,-12362367
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,LOGO,57919,724872,1008128,1278515,113824,124792,268177,1308886,901043,1747479,2397140,7337642,2068838,4246796,5557334,7101695,1607569,2970850,4461555,5115592,20054945,20337335,21973861
