date,bist100,cpi,eur_try,m2,tcmb_repo,us_cli,us_cpi,usd_try
2020-09-01,1179.9,477.21,6.6355,3273110992.0,909.0,98.3,119.36410684,5.9571
2020-09-02,1179.9,477.21,6.6355,3273110992.0,909.0,98.3,119.36410684,5.9571
2020-09-03,1035.24,477.21,6.8604,3273110992.0,909.0,98.3,119.36410684,6.0821
2020-09-04,958.34,477.21,7.3544,3273110992.0,909.0,98.3,119.36410684,6.7705
2020-09-05,958.34,477.21,7.3544,3273110992.0,909.0,98.3,119.36410684,6.7705
2020-09-06,1092.37,477.21,7.6448,3273110992.0,909.0,98.3,119.36410684,6.7714
2020-09-07,1157.94,477.21,7.7308,3273110992.0,909.0,98.3,119.36410684,6.8523
2020-09-08,1157.94,477.21,7.7308,3273110992.0,909.0,98.3,119.36410684,6.8523
2020-09-09,1099.68,477.21,8.7994,3273110992.0,909.0,98.3,119.36410684,7.4537
2020-09-10,1165.7,477.21,9.2859,3273110992.0,909.0,98.3,119.36410684,7.8931
2020-09-11,1231.54,477.21,10.0279,3273110992.0,909.0,98.3,119.36410684,8.4613
2020-09-12,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-13,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-14,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-15,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-16,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-17,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-18,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-19,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-20,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-21,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-22,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-23,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-24,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-25,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-26,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-27,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-28,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-29,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-09-30,1350.32,477.21,9.462,3273110992.0,909.0,98.3,119.36410684,7.8087
2020-10-01,1186.64,487.38,6.5336,3414449433.0,885.0,98.8,119.41363552,5.881
2020-10-02,1183.42,487.38,6.5518,3414449433.0,885.0,98.8,119.41363552,5.9776
2020-10-03,1010.63,487.38,6.9735,3414449433.0,885.0,98.8,119.41363552,6.1098
2020-10-04,964.71,487.38,7.3235,3414449433.0,885.0,98.8,119.41363552,6.7382
2020-10-05,964.71,487.38,7.3235,3414449433.0,885.0,98.8,119.41363552,6.7382
2020-10-06,1097.79,487.38,7.6453,3414449433.0,885.0,98.8,119.41363552,6.7828
2020-10-07,1148.09,487.38,7.7688,3414449433.0,885.0,98.8,119.41363552,6.853
2020-10-08,1075.52,487.38,8.5939,3414449433.0,885.0,98.8,119.41363552,7.2661
2020-10-09,1099.06,487.38,8.7855,3414449433.0,885.0,98.8,119.41363552,7.467
2020-10-10,1099.06,487.38,8.7855,3414449433.0,885.0,98.8,119.41363552,7.467
2020-10-11,1243.0,487.38,9.7173,3414449433.0,885.0,98.8,119.41363552,8.1778
2020-10-12,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
2020-10-13,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
2020-10-14,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
2020-10-15,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
2020-10-16,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
2020-10-17,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
2020-10-18,1353.36,487.38,9.484,3414449433.0,885.0,98.8,119.41363552,7.8203
