date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2022-10-19,71.66272,72.4963,71.07095,71.1201,298687018.0,ARCLK,71.1201,71.66272,72.4963,71.07095,0,-0.010936424384443644,-0.009582471082689836,0.0013840820705754986,0.013366545838309804,0.016573645102025063,69.987185,69.61412999999999,62.71408649999999,0.1340370875050536,59.56513277780726,0.4187484860788828,0.2397964414261449,0.17895204465273792,2.98932167899002,1.941424928571428,32315310525.7,0.0677262827245746,1,1,0.1831381001995218,1,1,0.27159691845202705,1,1,0.44575021688664673,1,1,0.9599170979793337,1,1,0.5604702468078646,1,1
2022-10-20,70.99919,71.808205,70.432,70.5795,572476357.0,ARCLK,70.5795,70.99919,71.808205,70.432,0,-0.007601226657442783,0.016278132154530667,0.0027932921206712535,0.013319854023295307,0.016580936239149028,69.997015,69.72816,62.8319005,0.12330678267482931,59.30753851167462,0.38007614448929417,0.26785238203877476,0.1122237624505194,1.7718638744814275,1.9589792142857132,31742834168.7,0.11142045494796649,1,1,0.14275674948108152,1,1,0.294567119347686,1,1,0.591921166911072,1,1,0.927575287441821,1,1,0.5153196041343451,1,1
2022-10-21,71.39043,72.398,70.38285,72.0048,422309395.0,ARCLK,72.0048,71.39043,72.398,70.38285,0,0.02019424903831868,0.018068090076053034,0.025911076536413225,0.014019180866704601,0.01667119356667484,70.087945,69.851036,62.95065,0.1438293329774991,68.87995880152975,0.45914509458874875,0.3061109245487696,0.15303417003997916,3.0964087614651303,1.881743214285713,32165143563.7,0.10648456769548686,1,1,0.1385671510788169,1,1,0.24368653200897716,1,1,0.6341299468924293,1,1,0.8361775881607894,1,1,0.4184304379708017,1,1
2022-10-24,71.04834,71.7099,70.432,70.8744,396815865.0,ARCLK,70.8744,71.04834,71.7099,70.432,0,-0.015698953403106564,-0.012327373569865907,0.014066128402247413,0.014487732981921663,0.0167511743500916,70.1371,69.949338,63.055713000000004,0.12399648862903168,58.82368027356268,0.4256869205118079,0.3300261237413773,0.0956607967704306,0.9097976234206717,1.7939753571428565,31768327698.7,0.11789165058187456,1,1,0.23162241937850614,1,1,0.28848780377682237,1,1,0.6380018737372029,1,1,0.8363372388337682,1,1,0.3869620060275645,1,1
2022-10-25,70.75246,71.415,70.2354,70.776,221589272.0,ARCLK,70.776,70.75246,71.415,70.2354,0,-0.0013883715417696285,-0.015721805400068067,0.004184100418409997,0.014381239014918168,0.016750119550190484,70.15184500000001,70.024046,63.163356,0.12052310836681945,57.44662430087786,0.38677254571635444,0.34137540813637274,0.045397137579981706,-0.13883715417696285,1.7694006428571427,31546738426.7,0.10000141290833064,1,1,0.22847292867638758,1,1,0.2909729286763876,1,1,0.6180569684638861,1,1,0.795834746241664,1,1,0.37291737312083195,1,1
2022-10-26,70.644325,71.1201,70.38285,70.8744,233876211.0,ARCLK,70.8744,70.644325,71.1201,70.38285,0,0.0013903017972194398,-0.003454719551856611,0.02853212167474739,0.013359143197709058,0.016669392325987725,70.25014999999999,70.101704,63.25754849999999,0.12041015942943156,56.71014735284528,0.3597259837459319,0.3450455232582846,0.014680460487647318,-1.3004085884341987,1.674611357142856,31780614637.7,0.09431332046549978,1,1,0.25311960312891535,1,1,0.25034568193875373,1,1,0.6005539376700191,1,1,0.7184455882518936,1,1,0.34327204180917237,1,1
2022-10-27,72.688965,74.6589,70.5303,74.5115,768158793.0,ARCLK,74.5115,72.688965,74.6589,70.5303,0,0.051317542017992546,0.055710227473983354,0.08054236304970464,0.01738833418891184,0.017043407448190825,70.52785,70.221632,63.377252,0.17568208858282452,66.10181181160466,0.6245752473446515,0.400951468075558,0.22362377926909355,7.289521807369437,1.8606792142857134,32548773430.7,0.060025633627023955,1,1,0.20580447313501948,1,1,0.1794192842715554,1,1,0.5039571072921629,1,1,0.7519778826087247,1,1,0.22427410533944414,1,1
2022-10-28,73.10871,74.118256,72.299706,72.398,255584954.0,ARCLK,72.398,73.10871,74.118256,72.299706,0,-0.028364749065580508,0.0054607470613068365,0.057429965238220415,0.018703797113886138,0.01751743284205747,70.72444999999999,70.29240800000001,63.511626,0.13991728065661557,56.666625564132275,0.6563622744109523,0.45203362934263686,0.20432864506831544,2.3627502407146395,1.9098323571428568,32293188476.7,0.0726415094339623,1,1,0.24779413795961225,1,1,0.23896792729080918,1,1,0.5695861764137131,1,1,0.7270877648553828,1,1,0.27834332440122656,1,1
2022-10-31,74.432816,77.41131,72.4963,77.313,695945488.0,ARCLK,77.313,74.432816,77.41131,72.4963,0,0.0678886157076164,0.09084521350445307,0.14483334591994024,0.023231591417462054,0.019360814684719656,71.213495,70.488026,63.6760575,0.21416122535538573,65.70727375631843,1.065866500466754,0.5748002035674603,0.4910662968992937,7.739795705068353,2.145050642857143,32989133964.7,0.03878002405804981,1,1,0.17291787926998037,1,1,0.19580406917336024,1,1,0.44437416734572444,1,1,0.5524478418894623,1,1,0.17355425348906373,1,1
2022-11-01,77.079056,78.34515,76.0351,76.2317,540953582.0,ARCLK,76.2317,77.079056,78.34515,76.0351,0,-0.013986004940954255,0.07708403978749878,0.10785625947353661,0.02350920452183919,0.01947763995731172,71.584575,70.681678,63.8261975,0.19436380335833103,60.714233811782144,1.2882989681689736,0.717499956487763,0.5707990116812106,6.0150334114440485,2.1871792142857154,32448180382.7,0.08962019737195925,1,1,0.1805285727591015,1,1,0.23726612419767612,1,1,0.42875601619798576,1,1,0.5344941802426024,1,1,0.1598967358723471,1,1
