date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2023-07-12,13.697814,14.046137,13.210162,13.6891,42386410.0,TEZOL,12.046408,12.054076319999998,12.360600559999998,11.62494256,0,0.9848480454703634,1.121453035163575,1.3999964935656934,0.21900347476206902,0.12828363179897978,5.618595399999999,4.649900639999999,4.30735932,1.7967037586267587,97.42301242362171,0.8895769601025769,0.4518608879339152,0.4377160721686617,134.45257974737746,0.5448814285714286,5261991482.0,0.1068733517908409,1,1,0.18956688167958435,1,1,0.16921492282180717,1,1,0.3129789394481741,1,1,0.3142500237415169,1,1,0.15458284328407257,1,1,1.0
2023-07-13,13.729163,14.028722,13.453988,13.663,48449929.0,TEZOL,12.023439999999999,12.081663439999998,12.345275359999999,11.839509439999999,0,-0.0019066264400143806,1.0644742110710697,1.4439237291167313,0.21870002803416172,0.12828110496566827,5.973781,4.81373816,4.356010339999999,1.7601954682228786,97.12444884786753,1.2593032595545095,0.613349362258034,0.6459538972964755,130.22807121011706,0.5660295714285715,5213541553.0,0.10898777720851949,1,1,0.2644953524116227,1,1,0.17335870599429137,1,1,0.23581936617141208,1,1,0.2912683890799972,1,1,0.17781599941447723,1,1,1.0
2023-07-14,13.583738,13.802312,13.462696,13.6194,31502645.0,TEZOL,11.985071999999999,11.95368944,12.146034559999999,11.847172479999998,0,-0.003191100051233242,1.0770145793936434,1.3787059758451155,0.21902042346202116,0.12833301734340616,6.321110399999999,4.9762724,4.40385858,1.7214933863748185,97.9141476977354,1.5315631322356014,0.7969921162535476,0.7345710159820538,122.15806214827501,0.5598070714285716,5182038908.0,0.12468243828656189,1,1,0.20908410062117255,1,1,0.2097228952817305,1,1,0.2173957736757861,1,1,0.3005125042219188,1,1,0.19054437053027318,1,1,1.0
2023-07-17,13.599412,13.811019,13.323367,13.5933,39761414.0,TEZOL,11.962103999999998,11.967482559999999,12.15369672,11.724562959999998,0,-0.0019163839816732642,1.0012808621527318,1.3633534433297982,0.21910929581400412,0.12831065417669438,6.666140799999999,5.137963599999999,4.4516108999999995,1.687140513561057,97.5519602858937,1.725586233256565,0.9827109396541511,0.7428752936024139,117.1072175815751,0.528706642857143,5142277494.0,0.1723275437163898,1,1,0.22678084056115888,1,1,0.20755813525781086,1,1,0.2280608829349755,1,1,0.32223227619489037,1,1,0.20179794457563682,1,1,1.0
2023-07-18,14.3744335,14.951778,13.48882,13.9329,161439849.0,TEZOL,12.260952,12.64950148,13.157564639999999,11.8701616,0,0.024982895985522502,1.0201977728801768,1.4710295291300883,0.2185003350444069,0.1282817847252621,7.031094400000001,5.307011599999999,4.5010295,1.7240328018290039,97.59332976615373,1.8817735604581003,1.162523463814941,0.7192500966431592,124.24676495203761,0.5803331428571429,5303717343.0,0.22062887123283748,1,1,0.21187979530463874,1,1,0.18750583152107603,1,1,0.21749958730773922,1,1,0.2900042345814584,1,1,0.17562747166777903,1,1,1.0
2023-07-19,14.42581,14.890822,13.72394,14.5599,77173870.0,TEZOL,12.812712,12.6947128,13.10392336,12.0770672,0,0.04500139956505822,0.06361265532430904,1.6476637298491585,0.21762454410739998,0.1282821487023665,7.4297673999999985,5.487132639999999,4.553903639999999,1.81356677981882,97.73483200788075,2.0267128788016597,1.335361346812285,0.6913515319893748,125.64042958761452,0.6313346428571428,5380891213.0,0.15490491006119544,1,1,0.18002184080934636,1,1,0.17045446740705628,1,1,0.13337316877176342,1,1,0.2344521596988991,1,1,0.11901867457880888,1,1,1.0
2023-07-21,16.487885,16.945929,16.022871,16.0838,169534430.0,TEZOL,14.153744,14.509338799999998,14.912417519999998,14.100126479999997,0,0.10466418038585434,0.1771792432115935,1.9155541053738303,0.21731605561898387,0.1286938524898365,7.894726400000001,5.695491999999999,4.6130821,2.0681751794532337,98.0251095284967,2.22414979341497,1.513119036132822,0.7110307572821479,143.02561894184933,0.7694197857142856,5550425643.0,0.062808540270334,1,1,0.02869968539772927,1,1,0.06389037416530918,1,1,-0.0200325793655729,0,-1,0.13806438776905972,1,1,0.06443129111279666,1,1,0.0
2023-07-24,15.568312,16.545357,14.716659,15.0563,223112825.0,TEZOL,13.249543999999998,13.70011456,14.559914159999998,12.95065992,0,-0.06388415672913128,0.10550391353510435,1.7228305588961321,0.21888475064458582,0.12900369866127018,8.313899,5.888066799999999,4.66751032,1.8386748162562174,89.05679648296992,2.2813604838565684,1.6667673256775712,0.6145931581789972,129.61477459891415,0.8732962142857141,5327312818.0,0.17871588637314617,1,1,0.1868121650073391,1,1,0.13649435784356045,1,1,0.08328075290742065,1,1,0.14516846768462388,1,1,0.13533869542982013,1,1,1.0
2023-07-25,14.830736,15.186897,14.472834,14.6557,74923079.0,TEZOL,12.897015999999999,13.051047679999998,13.36446936,12.73609392,0,-0.02660680246806979,0.07815615045647495,1.7057759233446257,0.21901613162799793,0.1291004686841758,8.720426,6.0770776,4.720070959999999,1.7323775657813418,86.35185408449732,2.2720633725631583,1.7878265350546887,0.4842368375084696,115.76932703208045,0.8969325714285711,5252389739.0,0.17409608548209898,1,1,0.18716267390844532,1,1,0.18419454546695135,1,1,0.165778502562143,1,1,0.165778502562143,1,1,0.16874663100363674,1,1,1.0
2023-07-26,15.129425,15.474265,14.6731205,15.3698,55276862.0,TEZOL,13.525424,13.313893999999998,13.6173532,12.91234604,0,0.04872506942691235,0.10313000165076902,1.723765473120852,0.2189823373697759,0.12901611527247778,9.1484118,6.278235039999999,4.77595492,1.8319831796067283,86.8877618559089,2.2890162640277154,1.8880644808492941,0.4009517831784213,122.8540772532189,0.9124806428571427,5307666601.0,0.09404806828976309,1,1,0.0861169306041718,1,1,0.1784668635896367,1,1,0.008497182787023938,1,0,0.10481593774805131,1,1,0.10311129617821946,1,1,1.0
2023-07-27,15.266141,15.596176,14.882114,15.1521,58078744.0,TEZOL,13.333848,13.434204079999999,13.724634879999998,13.096260319999999,0,-0.014164140066884379,0.04067335627305124,1.595093127809891,0.21961861886163858,0.12905526359705558,9.5581992,6.475024159999999,4.8309956199999995,1.7600621173819242,85.15081493197573,2.2609303725651575,1.9626376591924668,0.2982927133726907,10.68733517908409,0.9286542142857142,5249587857.0,0.07470911622811349,1,1,0.05632222596207792,1,1,0.19539865761181607,1,1,0.04425129190013255,1,1,0.0614898264926973,1,1,0.12356043056738009,1,1,1.0
2023-07-28,15.181673,15.378474,15.021443,15.1521,47917367.0,TEZOL,13.333848,13.35987224,13.533057119999999,13.218869839999998,0,0.0,-0.057927852870590324,1.5532011694231245,0.2198335138391799,0.12906502878908205,9.963771399999999,6.672771599999999,4.885883639999999,1.7290555777542016,85.58051349136039,2.2131601684555733,2.012742161045088,0.2004180074104851,10.89877772085195,0.9292761428571428,5249587857.0,0.1402247873232092,1,1,0.05804475947228438,1,1,0.16091498868143672,1,1,0.07183822704443599,1,1,0.0948251397496056,1,1,0.13160552002692683,1,1,1.0
2023-07-31,15.34103,15.587468,15.038859,15.3175,56832612.0,TEZOL,13.4794,13.500106399999998,13.716971839999998,13.23419592,0,0.010915978643224467,0.01734821968212663,1.498572710219395,0.22004482707460116,0.12905612190861185,10.367999399999999,6.8721655199999985,4.94124158,1.7279378637463827,85.49681889344124,2.162123157618087,2.042618360359688,0.11950479725839891,12.468243828656188,0.9162159285714283,5306420469.0,0.07504488330341097,1,1,0.07561286110657739,1,1,0.17908274849028882,1,1,0.06879059898808548,1,1,0.04605190141994431,1,1,0.10460584299004383,1,1,1.0
2023-08-01,15.719831,15.99675,15.195605,15.9358,91796403.0,TEZOL,14.023503999999999,13.833451279999998,14.07714,13.3721324,0,0.04036559490778524,0.087344855585199,1.5452077111050775,0.21990339846594556,0.12903797317762683,10.7936862,7.083284559999999,4.9986136199999995,1.8054786919097778,86.09190078420724,2.140901623114436,2.0622750129106375,0.07862661020379846,17.232754371638983,0.9311442142857141,5398216872.0,0.04644887611541293,1,1,0.030051832979831605,1,1,0.0819663901404386,1,1,0.0016378217598111977,1,0,0.008741324564816244,1,0,0.06666750335722083,1,1,1.0
2023-08-02,16.94419,17.520662,15.604883,17.0069,211297633.0,TEZOL,14.966072,14.910887199999998,15.41818256,13.732297039999999,0,0.06721344394382478,0.1065140730523495,1.7372207558102106,0.21928597577341857,0.12900596977780285,11.268609,7.310074639999999,5.060889459999999,1.9572019144634711,74.3920011762976,2.1750679351344893,2.084833597355408,0.0902343377790813,22.062887123283748,1.0082730714285715,5609514505.0,-0.007167679000876115,0,0,-0.027136044781823965,0,-1,0.04966807589860589,1,1,-0.05837042612116283,0,-1,-0.06042253438310341,0,-1,-0.01689902333758664,0,0,0.0
2023-08-03,17.104416,18.199892,16.240576,16.8153,150883193.0,TEZOL,14.797464,15.05188608,16.015904959999997,14.29170688,0,-0.011266015558391018,0.10976696299522848,1.6059324003905346,0.2198969905068343,0.12905417505694836,11.724563399999997,7.532611679999999,5.12151068,1.889277192720801,72.62470394028564,2.1635991034107747,2.1005866985664814,0.06301240484429327,15.490491006119544,1.1071717857142855,5458631312.0,0.021748050882232306,1,1,0.01346392868399593,1,0,-0.016050858444392913,0,0,-0.049716627119349655,0,-1,-0.08337644882934003,0,-1,0.09270128989670101,1,1,1.0
2023-08-04,17.210655,17.555496,16.815308,17.094,83101029.0,TEZOL,15.04272,15.145376399999998,15.44883648,14.79747104,0,0.01657419136143856,0.1281604530065139,1.5828970331588135,0.21998862798800412,0.12891810597518863,12.185500799999998,7.75967016,5.18360634,1.901979628337286,74.12380582092868,2.1495217326482,2.110373705382825,0.03914802726537481,6.2808540270334,1.1357846428571428,5541732341.0,-0.03209313209313214,0,-1,0.0010179010179010017,1,0,-0.030057330057330023,0,-1,-0.029548379548379633,0,-1,-0.1385632385632385,0,-1,0.11054171054171058,1,1,0.0
2023-08-07,17.906431,18.461136,17.154924,17.7471,193951118.0,TEZOL,15.617447999999998,15.75765928,16.245799679999998,15.096333119999999,0,0.03820638820638811,0.15861596213481288,1.7065058256572927,0.21942289368088203,0.12868616517711548,12.6778564,7.995005039999999,5.2481682,1.9757902957454752,76.52964770201568,2.159843727262725,2.120267709758805,0.039576017503919925,17.871588637314616,1.1986049285714284,5735683459.0,0.006868727848493572,1,0,-0.035819936778403116,0,-1,-0.06771247133334457,0,-1,-0.053975015636357426,0,-1,-0.18057034670453187,0,-1,0.1000952268257913,1,1,0.0
2023-08-08,17.477121,18.025734,17.024303,17.2072,85147283.0,TEZOL,15.142335999999998,15.379866479999999,15.862645919999999,14.981386639999998,0,-0.0304218717424255,0.07978262779402345,1.533339222354725,0.22039233907810524,0.12852434798515885,13.136112,8.2176952,5.30981814,1.851761698942103,70.39071354731033,2.105416483986211,2.1172974646042864,-0.011880980618075299,17.4096085482099,1.1656387142857143,5650536176.0,0.011129062253010469,1,0,0.008601050722953252,1,0,0.0323876051885259,1,1,-0.018219117578687993,0,0,-0.12651680691803424,0,-1,0.2095111348737737,1,1,0.0
