date,usd_try,usdtry_roc_1d,usdtry_roc_5d,usdtry_roc_20d,usdtry_ma200,usdtry_distance_ma200,usdtry_vol_20d,usdtry_vol_60d,usdtry_vol_regime,eur_try,eurtry_roc_1d,eurtry_roc_5d,eurtry_roc_20d,eur_usd_implied,eur_usd_roc_1d,bist100,bist100_roc_1d,bist100_roc_5d,bist100_roc_20d,bist100_roc_60d,bist100_ma200,bist100_distance_ma200,bist100_vol_20d,bist100_vol_60d,bist100_vol_regime,tcmb_repo,tcmb_rate_change,tcmb_rate_change_5d,tcmb_rate_roc_1d,cpi,cpi_mom,cpi_yoy,m2,m2_mom,m2_yoy,us_cli,us_cli_roc_1d,us_cli_roc_20d,us_cpi,us_cpi_mom,us_cpi_yoy,usdtry_vs_bist100,eurtry_vs_bist100,macro_regime_up,macro_regime_down
2020-01-29,7.7892,0.0,0.0,0.06321235036376782,,,0.01299301249895432,,,9.3306,0.0,0.0,0.06899317171532005,1.1978893853027268,0.0,1325.29,0.0,0.0,0.22125157806467066,,,,0.03691835908536158,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-30,7.7892,0.0,0.0,0.004772838678052782,,,0.0010672391729766324,,,9.3306,0.0,0.0,0.027203170584025882,1.1978893853027268,0.0,1325.29,0.0,0.0,0.15896669027817856,,,,0.03554603256201622,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-01-31,7.7892,0.0,0.0,0.004772838678052782,,,0.0010672391729766324,,,9.3306,0.0,0.0,0.027203170584025882,1.1978893853027268,0.0,1325.29,0.0,0.0,0.15896669027817856,,,,0.03554603256201622,,,1978.0,0.0,0.0,0.0,446.45,0.0,0.0,2469235642.0,0.0,0.0,98.9,0.0,0.0,118.30520212,0.0,0.0,0.0,0.0,0,0
2020-02-01,5.94,-0.23740563857649044,-0.23740563857649044,-0.23740563857649044,,,0.053085514609877905,,,6.6621,-0.28599446980901555,-0.28599446980901555,-0.28599446980901555,1.1215656565656564,-0.06371517243036773,1159.32,-0.1252329678787285,-0.1252329678787285,-0.1252329678787285,,,,0.028002942920088456,,,1613.0,-365.0,-365.0,-0.18452982810920127,448.02,0.003516631201702314,0.003516631201702314,2556911596.0,0.03550732563093306,0.03550732563093306,98.7,-0.002022244691607722,-0.002022244691607722,118.6294315,0.0027406181147564546,0.0027406181147564546,-0.11217267069776193,-0.16076150193028704,0,0
2020-02-02,5.94,0.0,-0.23740563857649044,-0.23740563857649044,,,0.053085514609877905,,,6.6621,0.0,-0.28599446980901555,-0.28599446980901555,1.1215656565656564,0.0,1159.32,0.0,-0.1252329678787285,-0.1252329678787285,,,,0.028002942920088456,,,1613.0,0.0,-365.0,0.0,448.02,0.0,0.003516631201702314,2556911596.0,0.0,0.03550732563093306,98.7,0.0,-0.002022244691607722,118.6294315,0.0,0.0027406181147564546,0.0,0.0,0,0
2020-02-03,6.2259,0.048131313131313025,-0.20070097057464176,-0.20070097057464176,,,0.0547178514207775,,,6.8592,0.029585265907146496,-0.26487042633914215,-0.26487042633914215,1.1017202332192937,-0.017694392860718833,1073.1,-0.07437118310733881,-0.19029042700088283,-0.19029042700088283,,,,0.0318072139003556,,,1613.0,0.0,-365.0,0.0,448.02,0.0,0.003516631201702314,2556911596.0,0.0,0.03550732563093306,98.7,0.0,-0.002022244691607722,118.6294315,0.0,0.0027406181147564546,0.12250249623865184,0.10395644901448531,0,0
2020-02-04,6.6428,0.06696220626736693,-0.14717814409695473,-0.14717814409695473,,,0.057314453433373644,,,7.2756,0.06070678796361073,-0.22024307118513287,-0.22024307118513287,1.0952610345035225,-0.005862830254915963,895.11,-0.1658652502096728,-0.3245931079235488,-0.3245931079235488,,,,0.047042677257268316,,,1613.0,0.0,-365.0,0.0,448.02,0.0,0.003516631201702314,2556911596.0,0.0,0.03550732563093306,98.7,0.0,-0.002022244691607722,118.6294315,0.0,0.0027406181147564546,0.23282745647703973,0.22657203817328353,0,0
2020-02-05,6.6428,0.0,-0.14717814409695473,-0.14717814409695473,,,0.057314453433373644,,,7.2756,0.0,-0.22024307118513287,-0.22024307118513287,1.0952610345035225,0.0,895.11,0.0,-0.3245931079235488,-0.3245931079235488,,,,0.047042677257268316,,,1613.0,0.0,-365.0,0.0,448.02,0.0,0.003516631201702314,2556911596.0,0.0,0.03550732563093306,98.7,0.0,-0.002022244691607722,118.6294315,0.0,0.0027406181147564546,0.0,0.0,0,0
2020-02-06,6.8059,0.02455289937977967,0.14577441077441078,-0.12623889488009032,,,0.057713903831985935,,,7.5724,0.040793886414866254,0.1366385974392459,-0.1884337555998543,1.1126228713322264,0.01585177987873365,1080.97,0.20763928455720526,-0.06758272090535822,-0.1843521040677889,,,,0.0690515465557734,,,1613.0,0.0,0.0,0.0,448.02,0.0,0.003516631201702314,2556911596.0,0.0,0.03550732563093306,98.7,0.0,-0.002022244691607722,118.6294315,0.0,0.0027406181147564546,-0.1830863851774256,-0.166845398142339,0,0
2020-02-07,6.8432,0.0054805389441514585,0.152053872053872,-0.1214502131155959,,,0.057751332191476185,,,7.6774,0.013866145475674774,0.15239939358460552,-0.17718045999185483,1.1219020341360766,0.008339899388136507,1169.08,0.08151012516536071,0.008418728219991012,-0.11786854197949126,,,,0.07188894442804594,,,1613.0,0.0,0.0,0.0,448.02,0.0,0.003516631201702314,2556911596.0,0.0,0.03550732563093306,98.7,0.0,-0.002022244691607722,118.6294315,0.0,0.0027406181147564546,-0.07602958622120926,-0.06764397968968594,0,0
