date,equity
2025-09-01,376444.6188841089
2025-09-02,365882.14934890886
2025-09-03,377597.8593489089
2025-09-04,392321.3101217089
2025-09-05,388729.65012170887
2025-09-08,375489.0911777088
2025-09-09,384068.95117770886
2025-09-10,394725.70117770886
2025-09-11,389596.9111777088
2025-09-12,391905.3411777089
2025-09-15,405124.39034370886
2025-09-16,418892.23977250885
2025-09-17,420445.94977250893
2025-09-18,432138.2297725089
2025-09-19,436600.8578305089
2025-09-22,451287.2178305089
2025-09-23,454841.7378305089
2025-09-24,451943.87649850885
2025-09-25,452515.8064985089
2025-09-26,452783.7264985089
2025-09-29,447946.8764985089
2025-09-30,449011.6064985089
2025-10-01,447846.2343536689
2025-10-02,445109.8343536689
2025-10-03,449149.03435366886
2025-10-06,449417.08435366885
2025-10-07,457213.53435366886
2025-10-08,459187.53435366886
2025-10-09,459425.2343536689
2025-10-10,464783.6843536689
2025-10-13,469019.79284030886
2025-10-14,458739.9416403089
2025-10-15,466233.61724030884
2025-10-16,465329.55352030887
2025-10-17,464361.0160403088
2025-10-20,463390.0945343089
2025-10-21,459208.37453430885
2025-10-22,453797.0245343089
2025-10-23,451058.00377301686
2025-10-24,455376.92377301684
2025-10-27,467745.5336770169
2025-10-28,476681.13367701694
2025-10-30,484432.2639070169
2025-10-31,501640.3339070169
2025-11-03,511604.04390701686
2025-11-04,513263.6161810169
2025-11-05,515894.216181017
2025-11-06,519300.5161810169
2025-11-07,513218.4661810169
2025-11-10,508580.7661810169
2025-11-11,497887.820838517
2025-11-12,502859.220838517
2025-11-13,509921.870838517
2025-11-14,496910.820838517
2025-11-17,508170.97083851695
