symbol,date,score,rank,percentile,bucket,signal
TTKOM,2025-11-17,0.00011723726424404475,81,0.27927927927927926,2,HOLD
LOGO,2025-11-17,0.0001165090501155613,82,0.2702702702702703,2,HOLD
OYAKC,2025-11-17,0.0001162794297716274,83,0.26126126126126126,2,HOLD
PARSN,2025-11-17,0.00011616957345702203,84,0.25225225225225223,2,HOLD
TATGD,2025-11-17,0.00011207919849015274,85,0.24324324324324326,2,HOLD
ZOREN,2025-11-17,0.0001118076780765766,86,0.23423423423423423,2,HOLD
BERA,2025-11-17,0.00011127212362860474,87,0.22522522522522523,2,HOLD
AGHOL,2025-11-17,0.000111064448300689,88,0.21621621621621623,2,HOLD
PRKME,2025-11-17,0.0001108316628544488,89,0.2072072072072072,2,HOLD
MGROS,2025-11-17,0.0001073704747354944,90,0.1981981981981982,1,HOLD
TUKAS,2025-11-17,0.00010686573668589255,91,0.1891891891891892,1,HOLD
QUAGR,2025-11-17,0.00010362994137803479,92,0.18018018018018017,1,HOLD
BAGFS,2025-11-17,0.00010315986638229862,93,0.17117117117117117,1,HOLD
MIATK,2025-11-17,0.00010301048876713288,94,0.16216216216216217,1,HOLD
MAGEN,2025-11-17,0.00010266731394090037,95,0.15315315315315314,1,HOLD
GUBRF,2025-11-17,9.989533286957463e-05,96,0.14414414414414414,1,HOLD
FONET,2025-11-17,9.568123787992079e-05,97,0.13513513513513514,1,SELL
KUTPO,2025-11-17,9.529211620570171e-05,98,0.12612612612612611,1,SELL
ARDYZ,2025-11-17,9.459834888008475e-05,99,0.11711711711711711,1,SELL
AKENR,2025-11-17,9.35855843282166e-05,100,0.10810810810810811,1,SELL
CLEBI,2025-11-17,9.140002757084052e-05,101,0.0990990990990991,0,SELL
PETKM,2025-11-17,9.087539922296941e-05,102,0.09009009009009009,0,SELL
ODAS,2025-11-17,8.862526241886595e-05,103,0.08108108108108109,0,SELL
TEKTU,2025-11-17,8.616305468457524e-05,104,0.07207207207207207,0,SELL
ALFAS,2025-11-17,8.299223370720023e-05,105,0.06306306306306306,0,SELL
TUREX,2025-11-17,8.030968293974978e-05,106,0.05405405405405406,0,SELL
HLGYO,2025-11-17,8.000623636451172e-05,107,0.04504504504504504,0,SELL
CANTE,2025-11-17,7.767662486328906e-05,108,0.036036036036036036,0,SELL
EUPWR,2025-11-17,7.637656169021604e-05,109,0.02702702702702703,0,SELL
SASA,2025-11-17,7.631006305677952e-05,110,0.018018018018018018,0,SELL
HEKTS,2025-11-17,5.365966001868666e-05,111,0.009009009009009009,0,SELL
